"R0000100","R4893600","R4893700","R4893800","R4893900","R4894000","R5459400","R5464100","R5473500","R5484100","R5532200","R5532300","R5532400","R5532500","R5532600","R7222400","R7227800","R7237200","R7248400","R7273600","R7273700","R7273800","R7273900","R7274000","R7274100","S0920800","S0920900","S0921000","S0921100","S0921200","S1530100","S1530200","S1530300","S1530400","S1530500","S1530600","S1530700","S1530800","S1530900","S1531000","S1535500","S1541700","S1552500","S1564300","S2000000","S2000100","S2000200","S2000300","S2000400","S2000500","S2000600","S2005400","S2011500","S2022300","S2034400","S3800000","S3800100","S3800200","S3800300","S3800400","S3800500","S3800600","S3800700","S3805700","S3812400","S3823200","S3835800","S4681900","S4682000","S4682100","S4682200","S4682300","S5400000","S5400100","S5400200","S5400300","S5400400","S5400500","S5400600","S5405600","S5412800","S5423200","S5436300","S7500000","S7500100","S7500200","S7500300","S7500400","S7500500","S7500600","S7500700","S7500800","S7506100","S7513700","S7525300","S7537100","S8332300","S8332400","S8332500","S8332600","S8332700","T0007500","T0007600","T0007700","T0007800","T0007900","T0008000","T0009400","T0014100","T0025600","T0033700","T2009900","T2010000","T2010100","T2010200","T2010300","T2010400","T2010500","T2010600","T2010700","T2012100","T2016200","T2020500","T2021300","T2782600","T2782700","T2782800","T2782900","T2783000","T3600200","T3600300","T3600400","T3600500","T3600600","T3600700","T3600800","T3600900","T3601000","T3601100","T3602100","T3606500","T3611200","T3612000","T5200700","T5200800","T5200900","T5201000","T5201100","T5201200","T5202300","T5206900","T5211600","T5211900","T6143700","T6143800","T6143900","T6144000","T6144100"
5278,4,2,4,2,4,2,-4,1,0,-4,-4,-4,-4,-4,2,69000,1,0,-4,-4,-4,-4,-4,-4,4,3,4,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,75000,1,0,-4,-4,-4,-4,-4,-4,-4,2,95000,1,0,-4,-4,-4,-4,-4,-4,-4,-4,2,98500,2,0,4,2,4,2,4,3,-4,-4,-4,-4,-4,-4,4,46250,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,40700,2,1,4,3,3,3,4,1,-4,-4,-4,-4,-4,4,279104,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,-3,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5279,3,3,3,2,4,2,81500,1,0,-4,-4,-4,-4,-4,2,85000,1,0,-4,-4,-4,-4,-4,-4,3,3,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,85000,1,0,-4,-4,-4,-4,-4,-4,-4,2,86000,1,0,2,-4,-4,-4,-4,-4,-4,-4,2,10250,2,0,3,3,3,3,4,2,-4,-4,-4,-4,-4,-4,2,-3,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,92000,2,1,3,3,3,3,3,-4,-4,-4,-4,-4,-4,2,99000,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,-3,2,1,3,3,3,3,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,107400,2,1,-4,-4,-4,-4,-4,-4,2,110900,2,1,3,3,3,3,3
5280,4,3,3,2,4,2,-4,1,0,-4,-4,-4,-4,-4,2,77500,1,0,-4,-4,-4,-4,-4,-4,3,3,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,77500,1,0,-4,-4,-4,-4,-4,-4,-4,2,80000,1,0,-4,-4,-4,-4,-4,-4,-4,-4,2,82500,2,0,3,2,4,2,4,2,-4,-4,-4,-4,-4,-4,2,8000,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,10000,4,0,4,2,3,2,4,-4,-4,-4,-4,-4,-4,2,39000,4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,50000,4,0,3,2,4,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,80750,4,2,2,-4,-4,-4,-4,-4,2,75000,2,2,4,2,4,2,4
5281,4,3,4,2,4,2,33000,1,0,-4,-4,-4,-4,-4,2,25000,1,2,-4,-4,-4,-4,-4,-4,3,2,4,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,33500,1,2,-4,-4,-4,-4,-4,-4,-4,2,42500,1,2,-4,-4,-4,-4,-4,-4,-4,-4,2,47029,2,0,4,3,3,2,4,-4,-4,-4,-4,-4,-4,-4,2,22550,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,25500,4,0,4,3,4,2,4,2,-4,-4,-4,-4,-4,2,29250,4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,33300,4,0,3,3,3,3,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,30400,4,0,-4,-4,-4,-4,-4,-4,2,35050,2,0,3,3,4,2,4
5282,4,3,3,2,3,2,-4,1,0,-4,-4,-4,-4,-4,2,-4,1,2,-4,-4,-4,-4,-4,-4,3,2,3,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,22500,1,2,-4,-4,-4,-4,-4,-4,-4,2,27500,1,2,-4,-4,-4,-4,-4,-4,-4,-4,2,12482,2,0,3,3,2,3,3,-4,-4,-4,-4,-4,-4,-4,2,80940,2,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,31000,3,1,3,2,3,2,4,-4,-4,-4,-4,-4,-4,2,39500,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,41337,3,1,4,2,4,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,33370,3,1,-4,-4,-4,-4,-4,-4,2,108958,3,1,3,2,3,2,4
5283,3,2,4,2,4,2,40000,1,0,-4,-4,-4,-4,-4,2,50000,1,0,-3,-3,-4,-4,-4,-4,3,2,4,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,56000,1,2,-4,-4,-4,-4,-4,-4,-4,2,26100,1,2,-4,-4,-4,-4,-4,-4,-4,-4,2,39780,1,0,4,2,4,2,4,-4,-4,-4,-4,-4,-4,-4,2,47200,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,68000,1,1,3,2,4,2,4,-4,-4,-4,-4,-4,-4,2,57700,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,62640,1,1,3,2,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,70000,1,1,-4,-4,-4,-4,-4,-4,2,77000,1,1,3,2,4,2,4
5284,4,1,4,2,4,2,10000,2,0,-4,-4,-4,-4,-4,2,0,2,2,-4,-4,-4,-4,-4,-4,4,2,4,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,2500,2,0,-4,-4,-4,-4,-4,-4,-4,2,250,2,0,-4,-4,-4,-4,-4,-4,-4,-4,2,-3,1,0,4,1,4,1,-2,-4,-4,-4,-4,-4,-4,-4,2,-3,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,-3,3,1,4,2,4,2,4,-4,-4,-4,-4,-4,-4,2,27500,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,63500,3,1,4,1,4,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,35000,3,1,-4,-4,-4,-4,-4,-4,2,-3,3,1,4,1,4,2,4
5285,4,1,4,2,4,2,16000,1,0,-4,-4,-4,-4,-4,2,32500,2,0,3,-4,-4,-4,-4,-4,3,3,3,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,42500,1,0,-4,-4,-4,-4,-4,-4,-4,2,50000,1,0,2,-4,-4,-4,-4,-4,-4,-4,2,0,2,1,1,4,1,4,2,-4,-4,-4,-4,-4,-4,-4,2,72500,3,0,2,-4,-4,-4,-4,-4,-4,-4,-4,2,42000,2,1,3,2,3,2,4,-4,-4,-4,-4,-4,-4,2,32000,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,35000,2,1,3,3,4,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,26000,2,1,2,-4,-4,-4,-4,-4,2,6914,2,1,4,2,4,2,4
5286,1,4,3,3,4,2,18150,2,0,-4,-4,-4,-4,-4,2,-3,2,0,-4,-4,-4,-4,-4,-4,3,2,4,3,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,-3,1,0,-4,-4,-4,-4,-4,-4,-4,2,0,1,0,-4,-4,-4,-4,-4,-4,-4,-4,2,-3,1,0,4,2,3,2,4,3,-4,-4,-4,-4,-4,-4,4,19800,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,20000,3,1,4,1,4,1,4,-4,-4,-4,-4,-4,-4,2,63908,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,-3,2,0,4,1,4,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,10322,3,1,-4,-4,-4,-4,-4,-4,4,0,2,0,4,1,4,1,4
5287,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,50000,1,0,3,-3,-3,1,1,-3,4,2,4,3,2,-3,-3,-3,-3,-4,-4,-4,-4,-4,-4,2,18500,1,0,1,-4,-4,-4,-4,-4,-4,2,42500,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,2,46000,1,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,42500,1,0,4,1,4,-2,4,-4,-4,-4,-4,-4,-4,2,93000,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,2,100000,1,0,4,2,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,60970,1,2,-4,-4,-4,-4,-4,-4,2,67250,1,0,4,3,4,3,4
5288,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,7000,1,0,3,1,-3,-4,-4,-4,4,2,4,3,1,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,43660,1,0,-4,-4,-4,-4,-4,-4,-4,2,5500,1,2,-4,-4,-4,-4,-4,-4,-4,-4,2,17500,1,0,-1,-1,-1,-1,-1,-4,-4,-4,-4,-4,-4,-4,2,11150,1,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,26000,1,0,1,4,1,4,4,-4,-4,-4,-4,-4,-4,2,20000,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,14900,1,1,4,4,4,4,4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,16500,2,0,-4,-4,-4,-4,-4,-4,2,38800,1,0,4,1,3,1,1
5289,3,2,3,2,3,2,-4,3,1,-4,-4,-4,-4,-4,2,-4,3,1,-4,-4,-4,-4,-4,-4,3,2,3,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,-4,3,1,-4,-4,-4,-4,-4,-4,-4,2,43950,3,1,-4,-4,-4,-4,-4,-4,-4,-4,2,31000,3,1,3,3,3,3,3,-4,-4,-4,-4,-4,-4,-4,2,25260,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,20000,3,1,3,2,3,2,4,-4,-4,-4,-4,-4,-4,2,30550,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,43400,3,1,3,2,3,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,45850,3,1,-4,-4,-4,-4,-4,-4,2,48100,3,1,3,2,3,2,3
5290,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,3,3,1,3,-3,1,-4,-4,2,34000,2,1,3,3,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,44839,2,1,-4,-4,-4,-4,-4,-4,2,43000,2,1,3,3,4,3,4
5291,1,3,2,3,2,2,46600,1,0,1,1,3,3,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,2,35000,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5292,2,3,2,3,3,4,-4,1,1,-4,-4,-4,-4,-4,4,47500,1,1,-4,-4,-4,-4,-4,-4,3,3,4,1,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,17500,1,0,-3,-3,-4,-4,-4,-4,-4,4,60000,1,1,-4,-4,-4,-4,-4,-4,-4,-4,4,40522,2,1,1,3,3,1,4,-4,-4,-4,-4,-4,-4,-4,4,13000,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,22250,2,1,3,2,3,2,4,3,-4,-4,-4,-4,-4,4,-3,3,1,3,-4,-4,-4,-4,-4,-4,-4,-4,4,40000,2,2,3,2,4,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,-3,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5293,3,3,3,2,3,2,0,1,0,3,2,2,2,2,2,70000,1,2,-3,-4,-4,-4,-4,-4,3,3,2,3,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,-3,2,0,2,-4,-4,-4,-4,-4,-4,2,10000,3,1,2,-4,-4,-4,-4,-4,-4,-4,2,10000,1,0,2,3,2,3,2,2,-4,-4,-4,-4,-4,-4,2,12300,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,17500,3,1,3,3,3,3,3,3,3,-3,2,-4,-4,2,-3,1,1,2,-4,-4,-4,-4,-4,-4,-4,-4,2,-3,1,0,3,3,3,3,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,-3,1,0,1,-4,-4,-4,-4,-4,2,-3,1,0,2,3,1,4,1
5294,3,2,3,1,4,2,-4,1,0,-4,-4,-4,-4,-4,2,60450,1,0,-4,-4,-4,-4,-4,-4,2,2,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,41250,1,0,1,1,-4,-4,-4,-4,-4,2,15950,1,0,-4,-4,-4,-4,-4,-4,-4,-4,2,10001,1,0,3,2,4,2,4,-4,-4,-4,-4,-4,-4,-4,2,9816,1,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,5000,1,0,3,2,3,1,4,-4,-4,-4,-4,-4,-4,2,-3,1,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,7200,1,0,3,2,3,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,7800,1,2,-4,-4,-4,-4,-4,-4,2,9606,1,0,3,3,4,2,4
5295,4,2,4,1,4,2,40103,2,0,-4,-4,-4,-4,-4,2,-4,2,0,-4,-4,-4,-4,-4,-4,3,2,3,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,41500,2,0,2,-4,-4,-4,-4,-4,-4,2,37002,2,0,-4,-4,-4,-4,-4,-4,-4,-4,2,0,2,1,3,3,4,1,4,2,-4,-4,-4,-4,-4,-4,2,45250,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,20000,2,1,3,3,2,3,3,-4,-4,-4,-4,-4,-4,2,-3,3,1,3,-4,-4,-4,-4,-4,-4,-4,-4,2,20000,3,1,3,2,4,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,35000,3,1,3,1,-4,-4,-4,-4,2,88943,2,1,1,4,2,-2,3
5296,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,-3,2,0,3,-4,-4,-4,-4,-4,2,3,2,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,0,2,0,3,-4,-4,-4,-4,-4,-4,2,0,1,0,-4,-4,-4,-4,-4,-4,-4,-4,2,0,1,0,4,1,3,2,4,2,-4,-4,-4,-4,-4,-4,2,0,1,1,3,-4,-4,-4,-4,-4,-4,-4,-4,3,344,3,1,4,1,4,1,4,3,-4,-4,-4,-4,-4,4,21074,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,2800,3,1,3,2,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,0,3,1,3,-4,-4,-4,-4,-4,3,3500,3,1,4,1,3,2,4
5297,3,3,3,3,3,3,-3,1,0,3,3,3,2,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,3,2,2,3,1,3,-4,-4,-4,-4,-4,-4,-4,-4,4,26000,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,3,3,-4,-4,-4,-4,-4,3,13000,3,1,4,2,3,3,4,-4,-4,-4,-4,-4,-4,-4,3,7784,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,3650,3,1,3,3,2,3,3,-4,-4,-4,-4,-4,-4,3,37500,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,-3,3,1,3,3,3,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,12000,3,1,1,-4,-4,-4,-4,-4,3,5000,2,0,3,3,3,2,4
5298,4,2,4,1,4,3,55500,2,0,3,-4,-4,-4,-4,3,40250,2,1,-4,-4,-4,-4,-4,-4,3,2,4,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,48250,2,1,-4,-4,-4,-4,-4,-4,-4,3,49950,2,1,3,3,-4,-4,-4,-4,-4,-4,3,53258,3,1,3,2,4,2,4,3,-4,-4,-4,-4,-4,-4,2,99500,1,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,56000,1,0,3,3,3,3,4,-4,-4,-4,-4,-4,-4,2,84000,1,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,64000,4,0,3,3,3,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,64000,1,0,-4,-4,-4,-4,-4,-4,2,64000,1,0,4,1,4,2,4
5299,3,3,2,3,3,2,-4,1,0,-4,-4,-4,-4,-4,2,40000,1,2,-3,-4,-4,-4,-4,-4,3,3,3,3,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,-3,2,0,2,-4,-4,-4,-4,-4,-4,2,-3,1,0,-4,-4,-4,-4,-4,-4,-4,-4,2,-3,1,0,3,2,3,2,3,2,-4,-4,-4,-4,-4,-4,2,2500,1,0,2,-4,-4,-4,-4,-4,-4,-4,-4,2,-3,1,0,3,2,-1,2,4,-4,-4,-4,-4,-4,-4,2,15000,1,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,2650,1,0,4,2,4,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,-3,1,0,1,-4,-4,-4,-4,-4,2,51300,1,1,3,3,3,2,3
5300,3,3,2,3,3,2,82200,1,0,2,-4,-4,-4,-4,2,88300,1,1,-3,-3,-3,-4,-4,-4,1,3,3,2,4,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,13250,3,1,2,-4,-4,-4,-4,-4,-4,2,10250,2,1,-4,-4,-4,-4,-4,-4,-4,-4,2,26751,2,1,2,3,3,3,3,-4,-4,-4,-4,-4,-4,-4,2,42201,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,35860,2,1,3,2,3,2,4,-4,-4,-4,-4,-4,-4,2,10001,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,46250,2,1,3,3,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,78250,2,2,-4,-4,-4,-4,-4,-4,2,90001,2,1,3,2,3,2,4
5301,4,2,4,2,4,2,-4,1,0,-4,-4,-4,-4,-4,2,-4,1,1,-4,-4,-4,-4,-4,-4,4,1,4,2,4,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,11550,1,1,3,-4,-4,-4,-4,-4,-4,2,106000,1,1,2,2,-4,-4,-4,-4,-4,-4,2,18000,3,1,4,2,3,2,3,2,-4,-4,-4,-4,-4,-4,2,158250,1,1,2,-4,-4,-4,-4,-4,-4,-4,-4,2,25000,3,1,4,2,3,2,4,3,3,-4,-4,-4,-4,2,55000,2,0,3,-4,-4,-4,-4,-4,-4,-4,-4,2,150000,2,1,3,3,4,2,4,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,313365,2,1,1,-4,-4,-4,-4,-4,2,20000,2,1,4,2,4,2,4
5302,4,2,4,2,4,2,-4,1,0,-4,-4,-4,-4,-4,2,76000,1,1,-3,-4,-4,-4,-4,-4,3,2,3,2,4,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,75035,1,1,2,-4,-4,-4,-4,-4,-4,2,-3,2,1,-4,-4,-4,-4,-4,-4,-4,-4,2,41500,2,1,4,2,3,2,4,2,-4,-4,-4,-4,-4,-4,2,70500,1,1,2,-4,-4,-4,-4,-4,-4,-4,-4,2,46000,1,0,4,2,3,2,4,-4,-4,-4,-4,-4,-4,2,55302,1,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,64001,1,1,4,2,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,57368,1,1,-4,-4,-4,-4,-4,-4,2,60064,1,2,4,2,4,2,4
5303,3,2,2,3,4,2,18000,1,0,-3,-4,-4,-4,-4,2,30000,1,0,-4,-4,-4,-4,-4,-4,3,3,2,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,30000,1,0,-4,-4,-4,-4,-4,-4,-4,2,30000,1,0,-4,-4,-4,-4,-4,-4,-4,-4,2,20000,1,0,3,2,3,2,4,-4,-4,-4,-4,-4,-4,-4,2,41210,1,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,43000,1,0,3,3,2,3,3,-4,-4,-4,-4,-4,-4,2,-3,1,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,49000,1,0,3,3,2,3,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,39000,1,2,-4,-4,-4,-4,-4,-4,2,41000,1,0,3,3,2,3,2
5304,3,2,3,2,3,2,115000,1,1,-4,-4,-4,-4,-4,2,285805,1,1,-4,-4,-4,-4,-4,-4,2,3,1,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,30500,1,1,-4,-4,-4,-4,-4,-4,-4,2,55000,1,1,2,-4,-4,-4,-4,-4,-4,-4,2,42500,2,0,1,3,1,3,2,2,-4,-4,-4,-4,-4,-4,2,12750,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,2,0,1,0,3,3,3,3,3,2,-4,-4,-4,-4,-4,2,12000,2,0,2,1,-4,-4,-4,-4,-4,-4,-4,2,20000,1,0,2,3,2,3,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,70000,1,1,2,-4,-4,-4,-4,-4,2,20000,1,1,3,3,3,3,3
5305,3,3,3,2,4,2,-3,3,1,3,3,2,2,1,2,3200,3,1,-4,-4,-4,-4,-4,-4,3,3,3,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,7000,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,2,-3,3,1,3,3,3,3,3,-4,-4,-4,-4,-4,-4,-4,2,42250,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,58250,3,1,3,3,3,3,4,-4,-4,-4,-4,-4,-4,2,-3,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,42750,3,1,3,3,3,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,42000,3,1,-4,-4,-4,-4,-4,-4,2,21250,3,1,3,3,3,3,-2
5306,4,2,3,2,3,-4,19000,5,-4,4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,1,3,1,4,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,86000,3,1,-4,-4,-4,-4,-4,-4,-4,2,80749,3,1,3,-4,-4,-4,-4,-4,-4,-4,2,-3,3,1,3,2,4,2,4,3,3,-4,-4,-4,-4,-4,2,-3,3,1,3,-4,-4,-4,-4,-4,-4,-4,-4,4,6200,3,1,4,3,3,3,3,-4,-4,-4,-4,-4,-4,4,8000,3,1,2,-4,-4,-4,-4,-4,-4,-4,-4,4,21000,2,1,4,2,3,2,4,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,17200,3,1,-4,-4,-4,-4,-4,-4,4,12000,3,1,3,2,3,2,4
5307,3,3,3,2,3,2,22000,1,0,-4,-4,-4,-4,-4,2,20500,1,1,-4,-4,-4,-4,-4,-4,3,2,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,7500,1,1,-4,-4,-4,-4,-4,-4,-4,2,45000,1,1,2,-4,-4,-4,-4,-4,-4,-4,2,47000,2,0,3,3,3,2,3,-4,-4,-4,-4,-4,-4,-4,2,49000,1,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,37500,1,0,2,4,3,2,4,-4,-4,-4,-4,-4,-4,2,70000,1,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,61000,1,0,2,4,2,3,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,60000,1,2,-4,-4,-4,-4,-4,-4,2,135750,1,2,3,2,4,2,4
5308,3,2,4,2,3,2,-4,1,0,-4,-4,-4,-4,-4,2,-3,1,1,-3,-3,-4,-4,-4,-4,3,3,3,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,5000,1,1,3,-4,-4,-4,-4,-4,-4,3,0,1,1,-4,-4,-4,-4,-4,-4,-4,-4,3,1600,3,1,3,2,4,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,17000,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
